t_s,rpm,b11_raw,atf_c,coolant_c,oil_c,atf_minus_coolant
0,1440,118,68,93,80,-25
42,1765,117,67,90,83,-23
86,1491,116,66,90,86,-24
129,1183,116,66,92,89,-26
171,717,117,67,91,90,-24
213,1469,119,69,93,92,-24
256,1908,121,71,93,93,-22
299,1899,123,73,91,94,-18
342,1470,125,75,91,96,-16
385,2663,124,74,91,96,-17
427,711,125,75,93,96,-18
471,2214,126,76,94,96,-18
513,1184,131,81,94,99,-13
555,708,132,82,93,99,-11
598,2164,135,85,98,101,-13
643,675,135,85,92,102,-7
687,1235,138,88,95,103,-7
730,709,136,86,93,103,-7
773,706,137,87,95,102,-8
816,1795,140,90,98,104,-8
858,2484,140,90,96,104,-6
901,1224,142,92,96,105,-4
944,707,141,91,96,105,-5
987,2028,142,92,99,104,-7
1031,1645,144,94,99,106,-5
1074,1291,143,93,95,106,-2
1116,1548,143,93,95,106,-2
1160,706,143,93,94,105,-1
1204,707,144,94,96,105,-2
1247,705,145,95,97,103,-2
1291,1780,143,93,99,104,-6
1333,1278,145,95,97,104,-2
1372,1307,144,94,96,104,-2
1411,1722,143,93,95,104,-2
1455,1329,143,93,94,104,-1
1497,1842,143,93,96,103,-3
1540,1280,145,95,97,103,-2
1582,1702,145,95,98,103,-3
1623,1594,146,96,99,104,-3
1665,1354,146,96,99,104,-3
1707,706,149,99,99,104,0
