t_s,rpm,atf_c,coolant_c,oil_c,atf_minus_coolant
0,797,36,36,30,0
104,800,47,47,34,0
205,799,56,56,40,0
307,799,64,64,46,0
406,927,34,71,53,-37
508,777,79,79,63,0
599,700,86,86,70,0
692,1954,46,94,76,-48
783,1575,53,94,83,-41
876,700,65,95,90,-30
971,1674,70,95,93,-25
1066,1879,78,98,97,-20
1159,700,86,99,101,-13
1256,2208,91,103,105,-12
1350,703,95,104,109,-9
1445,2383,101,107,113,-6
1539,2194,102,107,115,-5
1631,1942,102,105,116,-3
1722,1994,100,105,118,-5
1816,1853,100,101,118,-1
1912,1026,98,99,114,-1
2004,694,99,103,112,-4
2101,739,100,104,111,-4
2195,776,100,102,110,-2
2290,695,100,102,108,-2
2383,697,100,101,107,-1
2477,695,98,100,106,-2
2570,698,98,99,105,-1
2665,754,97,98,105,-1
2758,1269,97,98,104,-1
2852,1201,96,98,104,-2
2946,958,98,101,105,-3
3040,2212,102,104,112,-2
3133,1957,101,108,115,-7
3226,2073,101,101,118,0
3321,2274,101,102,119,-1
3418,2276,98,97,115,1
3512,2316,97,102,116,-5
3605,2435,98,101,117,-3
3700,2239,97,101,116,-4
3792,2355,98,99,117,-1
3884,2435,96,96,115,0
3979,1519,94,93,113,1
4072,1907,95,99,112,-4
4167,1709,94,95,111,-1
4260,1226,94,96,110,-2
